Route ID,Route Description,Kilometer
202B-U,Swargate To Mahatma Gandhi Stand,3
202-D,Warje Malwadi To Hadapsar Gadital,19.2
202-U,Hadapsar Gadital To Ganpati Matha,19.2
203-D,Pune Station To Bhekrainagar,12.6
203-NGT-D,Pune Station To Hadapsar Gadital,10
203-NGT-U,Hadapsar Gadital To Pune Station,10
203P-D,Pune Station To Shewalwadi,13.5
203P-U,Shewalwadi To Pune Station,13.5
203-U,Bhekrainagar To Pune Station,12.6
204-D,Chinchwadgaon To Bhekrainagar,31.9
204-U,Bhekrainagar To Chinchwadgaon,31.9
205-D,Vasantdada Putala Sangvi To Hadapsar Gadital,26.5
205-U,Hadapsar Gadital To Vasantdada Putala Sangvi,26.5
206-D,Vishalnagar To Hadapsar Gadital,26.8
206-U,Hadapsar Gadital To Vishalnagar,26.8
207A-D,Saswad To Hadapsar Gadital,23
207A-U,Hadapsar Gadital To Saswad,23
207-D,Saswad To Swargate,32.7
207-U,Swargate To Saswad,32.7
208A-D,Bhakti Shakti To Hadapsar Gadital,28.2
208A-U,Hadapsar Gadital To Bhakti Shakti,28.2
208-D,Hinjawadi Maan Phase 3 To Hadapsar Gadital,36.3
208-U,Hadapsar Gadital To Hinjawadi Maan Phase 3,36.3
20A-D,Sahkarnagar To Swargate Depo,3.4
20A-U,Swargate Depo To Sahkarnagar,3.4
20B-D,Hadapsar Gadital To Swargate,9.5
20B-U,Swargate To Hadapsar Gadital,9.5
20-D,Pune Station To Sahkarnagar,9.5
20-U,Sahkarnagar To Pune Station,9.5
213-D,Vimannagar To Katraj,21.9
213-U,Katraj To Vimannagar,21.9
215A-U,Chintamani Dnyanpith To Swargate,8.6
215A-D,Swargate To Chintamani Dnyanpith,8.6
215-D,Swargate To Chintamani Dnyanpith,7.5
215-U,Chintamani Dnyanpith To Swargate,7.5
216A-D,Mandai To Katraj,7.7
216A-U,Katraj To Mandai,7.7
216B-D,Pune Vidhyapeeth To Bharati Vidyapeeth,16.5
216B-U,Bharati Vidyapeeth To Pune Vidhyapeeth,16.5
216C-D,Mandai To Bharati Vidyapeeth,7.7
216C-U,Bharati Vidyapeeth To Mandai,7.7
216-R,Bharati Vidyapeeth To Bharati Vidyapeeth,15.5
217A-D,Gujarwadi To Katraj,3.8
217A-U,Katraj To Gujarwadi,3.8
217B-D,Gujarwadi To Swargate,9.9
217B-U,Swargate To Gujarwadi,9.9
217-D,Gujarwadi To Jambhulwadi,7
217-U,Jambhulwadi To Gujarwadi,7
218-D,Balewadi Depot To Katraj,23
218-U,Katraj To Balewadi Depot,23
21A-D,Ammunition Factory To Swargate,9.5
21A-U,Swargate To Ammunition Factory,9.5
21B-D,HEMRL Company To Swargate,12.2
21B-U,Swargate To HEMRL Company,12.2
21-D,Vasantdada Putala Sangvi To Swargate,14.85
21N-D,Pimplenilakh To Swargate,15.1
21N-U,Swargate To Pimplenilakh,15.1
21-U,Swargate To Vasantdada Putala Sangvi,14.85
226-D,Dhayari Maruti Mandir To Pune Station,15.9
226-U,Pune Station To Dhayari Maruti Mandir,15.9
227A-D,Shivajinagar To Marketyard,7.6
227A-U,Marketyard To Shivajinagar,7.6
227-D,Marnewadi To Marketyard,33.5
227-U,Marketyard To Marnewadi,33.5
22A-D,Khandoba Mandir To Swargate,6
22A-U,Swargate To Khandoba Mandir,6
22-D,Shivajinagar To Khandoba Mandir,10
22-U,Khandoba Mandir To Shivajinagar,10
230-D,Pune Station To Bharati Vidyapeeth,10.9
230-U,Bharati Vidyapeeth To Pune Station,10.9
233-D,Paudgaon To Marketyard,35.6
233-U,Marketyard To Paudgaon,35.6
234-D,Kharadi Gaon To Ma Na Pa,14
234-U,Ma Na Pa To Kharadi Gaon,14
235-D,Kharadi Gaon To Katraj,22.4
235-U,Katraj To Kharadi Gaon,22.4
236-D,Khulewadi To Ma Na Pa,13.5
236-U,Ma Na Pa To Khulewadi,13.5
237-D,Kharadi Gaon To Warje Malwadi,24.2
237-U,Warje Malwadi To Kharadi Gaon,24.2
23-D,Pune Station To Upper Depot,11.4
23-U,Upper Depot To Pune Station,11.4
24A-D,Maharashtra Housing Board Samtanagar To Katraj,18
24A-U,Katraj To Maharashtra Housing Board Samtanagar,18
24B-D,Lohgaon To Katraj,21.1
24B-U,Katraj To Lohgaon,21.1
24-D,Maharashtra Housing Board Samtanagar To Katraj,18
24-NGT-D,Pune Station To Katraj,10.8
24-NGT-U,Katraj To Pune Station,10.8
24-U,Katraj To Maharashtra Housing Board Samtanagar,18
252A-D,Charholigaon To Vishrantwadi,12.4
252A-U,Vishrantwadi To Charholigaon,12.4
252-D,Charholigaon To Ma Na Pa,21.6
252-U,Ma Na Pa To Charholigaon,21.6
256B-D,Banergaon To Ma Na Pa,11
256B-U,Ma Na Pa To Banergaon,11
256-D,Balewadi Depot To Ma Na Pa,13.5
256S-D,Someshwarwadi To Ma Na Pa,8.1
256S-U,Ma Na Pa To Someshwarwadi,8.1
256-U,Ma Na Pa To Balewadi Depot,13.5
257-D,Alandi To Kesnand Phata,24
257-U,Kesnand Phata To Alandi,24
262A-D,Dehugaon To Nigdi,11.8
262A-U,Nigdi To Dehugaon,11.8
262-D,Dehugaon To Ma Na Pa,31.3
262-U,Ma Na Pa To Dehugaon,31.3
264-D,Bahulgaon To Ma Na Pa,38
264-U,Ma Na Pa To Bahulgaon,38
26-D,Shivajinagar To Dhankawadi,10.2
26-U,Dhankawadi To Shivajinagar,10.2
276-D,Chinchwadgaon To Warje Malwadi,24.9
276-U,Warje Malwadi To Chinchwadgaon,24.9
277A-D,Kothrud Stand To Kondhwagate,10
277A-U,Kondhwagate To Kothrud Stand,10
277-D,Khadki Bazar To Kondhwagate,24
277-U,Kondhwagate To Khadki Bazar,24
279A-U,Kothrud Depo To Khamboli,28.6
279B-U,Deccan Gymkhana To Kothrud Depo,6
279-D,Khamboli To Deccan Gymkhana,34.6
279-U,Deccan Gymkhana To Khamboli,34.6
27-D,Shivajinagar To Bharati Vidyapeeth,10.9
27-U,Bharati Vidyapeeth To Shivajinagar,10.9
280-D,Ma Na Pa To Warje Hanuman Chowk,9.9
280-U,Warje Hanuman Chowk To Ma Na Pa,9.9
281-D,Bhakti Shakti To Warje Malwadi,28.4
281-U,Warje Malwadi To Bhakti Shakti,28.4
282-D,Bhosarigaon To Warje Malwadi,25.6
282-U,Warje Malwadi To Bhosarigaon,25.6
283-D,Pune Station To Kumbare Park,12.5
283-U,Kumbare Park To Pune Station,12.5
284-D,Bhakti Shakti To Kothrud Depot,26.5
284-U,Kothrud Depot To Bhakti Shakti,26.5
286-D,Azadnagar To Warje Malwadi  ,18.7
286-U, Warje Malwadi To Azadnagar,18.7
28-D,Shivajinagar To Katraj,11.1
28-U,Katraj To Shivajinagar,11.1
290A-D,Katraj To Shaninagar,1.1
290A-U,Shaninagar To Katraj,1.1
290-D,Shivajinagar To Shaninagar,11.6
290-U,Shaninagar To Shivajinagar,11.6
291A-D,Hadapsar Gadital To Upper Depot,15.6
291A-U,Upper Depot To Hadapsar Gadital,15.6
291-D,Hadapsar Gadital To Katraj,14.2
291-U,Katraj To Hadapsar Gadital,14.2
292A-D,Kalyangaon To Swargate,34
292A-U,Swargate To Kalyangaon,34
292B-D,Rahatwadegaon To Swargate,30
292B-U,Swargate To Rahatwadegaon,30
292C-D,Avsarwadi To Swargate,31
292C-U,Swargate To Avsarwadi,31
292-D,Kondhanpur To Swargate,29
292D-D,Swargate To Kondhanpur,29
292-U,Swargate To Kondhanpur,29
293A-D,Kusgaon To Swargate,25.3
293A-U,Swargate To Kusgaon,25.3
293D-D,Khed Shivapur To Swargate,19.8
293D-U,Swargate To Khed Shivapur,19.8
294-D,Khadakwasla Dharan To Katraj,13
294-U,Katraj To Khadakwasla Dharan,13
295A-D,Ambegaon To Katraj,3
295A-U,Katraj To Ambegaon,3
295B-D,Katraj To Pune Station,13.7
295-D,Pune Station To Ambegaon,16.7
295-U,Ambegaon To Pune Station,16.7
296A-D,Jambhulwadi To Katraj,5
296A-U,Katraj To Jambhulwadi,5
296-D,Shivajinagar To Jambhulwadi,13.3
296-U,Jambhulwadi To Shivajinagar,13.3
297-D,Shivajinagar To Rajas Society,11.5
297-U,Rajas Society To Shivajinagar,11.5
298-D,Chinchwadgaon To Katraj,26.75
298-U,Katraj To Chinchwadgaon,26.75
299-D,Bhosarigaon To Katraj,26.9
299-U,Katraj To Bhosarigaon,26.9
29A-D,Alandi To Swargate,28.6
